MSOA11CD,MSOA11NM,xcoord,ycoord
E02000141,Bromley 015,-0.05797,51.40516
E02000142,Bromley 016,0.03342,51.40489
E02000144,Bromley 018,0.01439,51.39918
E02000145,Bromley 019,0.13535,51.39291
E02000146,Bromley 020,0.03308,51.39412
E02000147,Bromley 021,-0.00323,51.39413
E02000148,Bromley 022,0.06127,51.39246
E02000149,Bromley 023,0.10281,51.39056
E02000150,Bromley 024,-0.02875,51.38941
E02000151,Bromley 025,0.07905,51.38619
E02000152,Bromley 026,0.04823,51.38398
E02000153,Bromley 027,0.01214,51.38389
E02000154,Bromley 028,0.09496,51.37942
E02000155,Bromley 029,0.11387,51.37844
E02000156,Bromley 030,-0.01305,51.37661
E02000157,Bromley 031,0.07475,51.37314
E02000158,Bromley 032,0.11433,51.36903
E02000159,Bromley 033,0.04171,51.3644
E02000160,Bromley 034,0.01111,51.3656
E02000161,Bromley 035,0.09336,51.36372
E02000162,Bromley 036,0.07152,51.3447
E02000163,Bromley 037,0.1157,51.34971
E02000165,Bromley 039,0.01827,51.3141
E02000166,Camden 001,-0.15597,51.56492
E02000167,Camden 002,-0.17486,51.56169
E02000168,Camden 003,-0.14233,51.55538
E02000169,Camden 004,-0.18641,51.5568
E02000170,Camden 005,-0.20134,51.55415
E02000171,Camden 006,-0.15876,51.55261
E02000172,Camden 007,-0.14802,51.54988
E02000173,Camden 008,-0.17322,51.55043
E02000174,Camden 009,-0.13615,51.54855
E02000175,Camden 010,-0.19032,51.54917
E02000176,Camden 011,-0.16854,51.54748
E02000177,Camden 012,-0.1535,51.54578
E02000178,Camden 013,-0.19978,51.54679
E02000179,Camden 014,-0.16457,51.54469
E02000180,Camden 015,-0.13138,51.54432
E02000181,Camden 016,-0.18724,51.54382
E02000182,Camden 017,-0.1712,51.54106
E02000183,Camden 018,-0.15273,51.54034
E02000184,Camden 019,-0.13616,51.53936
E02000185,Camden 020,-0.18792,51.53896
E02000186,Camden 021,-0.14457,51.53306
E02000187,Camden 022,-0.12871,51.53394
E02000188,Camden 023,-0.13897,51.52891
E02000189,Camden 024,-0.11841,51.52785
E02000190,Camden 025,-0.12406,51.52619
E02000191,Camden 026,-0.13408,51.52241
E02000192,Camden 027,-0.11304,51.52151
E02000193,Camden 028,-0.12247,51.51851
E02000194,Croydon 001,-0.0868,51.41564
E02000195,Croydon 002,-0.10505,51.41606
E02000196,Croydon 003,-0.11538,51.40994
E02000197,Croydon 004,-0.12508,51.40639
E02000198,Croydon 005,-0.09862,51.40605
E02000199,Croydon 006,-0.09109,51.40313
E02000200,Croydon 007,-0.07943,51.40313
E02000201,Croydon 008,-0.06966,51.39977
E02000202,Croydon 009,-0.11074,51.39915
E02000203,Croydon 010,-0.09777,51.39686
E02000204,Croydon 011,-0.11897,51.39459
E02000206,Croydon 013,-0.08915,51.39084
E02000207,Croydon 014,-0.06669,51.38845
E02000208,Croydon 015,-0.10652,51.38847
E02000209,Croydon 016,-0.12487,51.38713
E02000210,Croydon 017,-0.07806,51.38485
E02000211,Croydon 018,-0.04683,51.3832
E02000212,Croydon 019,-0.11732,51.38025
E02000213,Croydon 020,-0.09971,51.38149
E02000214,Croydon 021,-0.06589,51.37957
E02000215,Croydon 022,-0.08366,51.37874
E02000216,Croydon 023,-0.07765,51.36949
E02000217,Croydon 024,-0.11073,51.37248
E02000218,Croydon 025,-0.03048,51.37124
E02000219,Croydon 026,-0.0471,51.36524
E02000220,Croydon 027,-0.09605,51.36866
E02000221,Croydon 028,-0.11247,51.3589
E02000222,Croydon 029,-0.08611,51.35807
E02000223,Croydon 030,-0.02045,51.35408
E02000224,Croydon 031,-0.09938,51.34909
E02000225,Croydon 032,-0.01345,51.34784
E02000226,Croydon 033,-0.06672,51.35057
E02000227,Croydon 034,-0.03662,51.346
E02000228,Croydon 035,-0.08462,51.34045
E02000229,Croydon 036,-0.00694,51.33745
E02000230,Croydon 037,-0.11221,51.33942
E02000231,Croydon 038,-0.1351,51.33439
E02000232,Croydon 039,-0.06328,51.32985
E02000233,Croydon 040,-0.10831,51.32391
E02000234,Croydon 041,-0.1269,51.32093
E02000235,Croydon 042,-0.09431,51.31784
E02000236,Croydon 043,-0.14633,51.31017
E02000237,Croydon 044,-0.11812,51.30144
E02000238,Ealing 001,-0.34791,51.5534
E02000239,Ealing 002,-0.32679,51.54841
E02000240,Ealing 003,-0.37439,51.5501
E02000241,Ealing 004,-0.36439,51.54629
E02000242,Ealing 005,-0.3127,51.53953
E02000243,Ealing 006,-0.34541,51.53828
E02000244,Ealing 007,-0.32311,51.5353
E02000245,Ealing 008,-0.38465,51.53903
E02000246,Ealing 009,-0.40024,51.53734
E02000247,Ealing 010,-0.36831,51.53494
E02000248,Ealing 011,-0.29178,51.52972
E02000249,Ealing 012,-0.35352,51.52776
E02000250,Ealing 013,-0.30838,51.52688
E02000251,Ealing 014,-0.36315,51.52626
E02000252,Ealing 015,-0.26362,51.52537
E02000253,Ealing 016,-0.33645,51.52337
E02000254,Ealing 017,-0.37351,51.52141
E02000255,Ealing 018,-0.32456,51.52201
E02000256,Ealing 019,-0.31434,51.51713
E02000257,Ealing 020,-0.29534,51.51733
E02000258,Ealing 021,-0.27366,51.51682
E02000259,Ealing 022,-0.34275,51.51741
E02000260,Ealing 023,-0.37184,51.51233
E02000261,Ealing 024,-0.25388,51.51134
E02000262,Ealing 025,-0.26928,51.5096
E02000263,Ealing 026,-0.38669,51.50938
E02000264,Ealing 027,-0.28561,51.50858
E02000265,Ealing 028,-0.32555,51.50882
E02000266,Ealing 029,-0.35676,51.50691
E02000267,Ealing 030,-0.33824,51.50685
E02000268,Ealing 031,-0.30138,51.50513
E02000269,Ealing 032,-0.31404,51.50502
E02000270,Ealing 033,-0.27359,51.50294
E02000271,Ealing 034,-0.25797,51.50145
E02000272,Ealing 035,-0.32935,51.5
E02000274,Ealing 037,-0.3911,51.50013
E02000275,Ealing 038,-0.37242,51.49791
E02000276,Ealing 039,-0.31058,51.4966
E02000277,Enfield 001,-0.03553,51.67798
E02000278,Enfield 002,-0.04602,51.67474
E02000279,Enfield 003,-0.02088,51.67239
E02000280,Enfield 004,-0.1054,51.67805
E02000281,Enfield 005,-0.06489,51.66662
E02000282,Enfield 006,-0.04596,51.66441
E02000283,Enfield 007,-0.03552,51.66057
E02000284,Enfield 008,-0.08708,51.65905
E02000285,Enfield 009,-0.07277,51.6587
E02000286,Enfield 010,-0.10087,51.66008
E02000287,Enfield 011,-0.15302,51.6636
E02000288,Enfield 012,-0.05135,51.65124
E02000289,Enfield 013,-0.11563,51.65393
E02000290,Enfield 014,-0.02467,51.65044
E02000291,Enfield 015,-0.07377,51.64603
E02000292,Enfield 016,-0.06243,51.64569
E02000293,Enfield 017,-0.09374,51.64404
E02000294,Enfield 018,-0.03772,51.63737
E02000295,Enfield 019,-0.11947,51.63938
E02000296,Enfield 020,-0.13301,51.64178
E02000297,Enfield 021,-0.08,51.63557
E02000298,Enfield 022,-0.10472,51.63339
E02000299,Enfield 023,-0.05313,51.63204
E02000300,Enfield 024,-0.06552,51.63142
E02000301,Enfield 025,-0.03618,51.627
