MSOA11CD,MSOA11NM,xcoord,ycoord
E02000610,Kingston upon Thames 013,-0.30151,51.38816
E02000611,Kingston upon Thames 014,-0.27983,51.38852
E02000612,Kingston upon Thames 015,-0.24974,51.38698
E02000613,Kingston upon Thames 016,-0.29959,51.38092
E02000614,Kingston upon Thames 017,-0.27953,51.37603
E02000615,Kingston upon Thames 018,-0.30381,51.37081
E02000616,Kingston upon Thames 019,-0.29362,51.36192
E02000617,Kingston upon Thames 020,-0.31451,51.34751
E02000619,Lambeth 002,-0.11195,51.49254
E02000620,Lambeth 003,-0.11538,51.48819
E02000621,Lambeth 004,-0.12337,51.48171
E02000622,Lambeth 005,-0.10975,51.48012
E02000623,Lambeth 006,-0.12537,51.47659
E02000624,Lambeth 007,-0.11274,51.47488
E02000625,Lambeth 008,-0.13038,51.47195
E02000626,Lambeth 009,-0.10435,51.47016
E02000627,Lambeth 010,-0.12227,51.46825
E02000628,Lambeth 011,-0.11241,51.46658
E02000629,Lambeth 012,-0.13422,51.46715
E02000630,Lambeth 013,-0.1447,51.46489
E02000631,Lambeth 014,-0.09709,51.46353
E02000632,Lambeth 015,-0.12527,51.46137
E02000633,Lambeth 016,-0.11576,51.45967
E02000634,Lambeth 017,-0.1342,51.4596
E02000635,Lambeth 018,-0.10662,51.4548
E02000636,Lambeth 019,-0.14124,51.45592
E02000637,Lambeth 020,-0.11823,51.45244
E02000638,Lambeth 021,-0.12449,51.44987
E02000639,Lambeth 022,-0.13001,51.44759
E02000640,Lambeth 023,-0.139,51.44633
E02000641,Lambeth 024,-0.1143,51.44494
E02000642,Lambeth 025,-0.10053,51.44286
E02000643,Lambeth 026,-0.12642,51.43946
E02000644,Lambeth 027,-0.11369,51.43617
E02000645,Lambeth 028,-0.10008,51.43371
E02000646,Lambeth 029,-0.13106,51.43439
E02000647,Lambeth 030,-0.11379,51.42795
E02000648,Lambeth 031,-0.09968,51.42624
E02000649,Lambeth 032,-0.13072,51.42626
E02000650,Lambeth 033,-0.0882,51.4242
E02000651,Lambeth 034,-0.12591,51.41914
E02000652,Lambeth 035,-0.13802,51.41505
E02000653,Lewisham 001,-0.0399,51.48921
E02000654,Lewisham 002,-0.03263,51.4839
E02000655,Lewisham 003,-0.04714,51.48065
E02000657,Lewisham 005,-0.03253,51.47145
E02000658,Lewisham 006,-0.04703,51.4716
E02000659,Lewisham 007,-0.00576,51.46711
E02000660,Lewisham 008,-0.02774,51.4668
E02000661,Lewisham 009,0.00645,51.46633
E02000662,Lewisham 010,-0.0419,51.46336
E02000663,Lewisham 011,-0.02165,51.46229
E02000664,Lewisham 012,-0.01211,51.45915
E02000665,Lewisham 013,0.0037,51.4557
E02000666,Lewisham 014,-0.02819,51.45675
E02000667,Lewisham 015,-0.03525,51.453
E02000668,Lewisham 016,0.00971,51.44995
E02000669,Lewisham 017,-0.00421,51.44916
E02000670,Lewisham 018,-0.01255,51.44656
E02000671,Lewisham 019,-0.0413,51.44644
E02000672,Lewisham 020,-0.02497,51.44562
E02000673,Lewisham 021,-0.05601,51.44457
E02000674,Lewisham 022,-0.00194,51.4412
E02000675,Lewisham 023,0.01817,51.44021
E02000676,Lewisham 024,-0.04208,51.43948
E02000677,Lewisham 025,-0.01384,51.4379
E02000678,Lewisham 026,0.00858,51.43542
E02000679,Lewisham 027,-0.04624,51.43394
E02000680,Lewisham 028,-0.06101,51.43498
E02000681,Lewisham 029,-0.02913,51.43397
E02000682,Lewisham 030,-0.00711,51.43132
E02000683,Lewisham 031,0.03083,51.42952
E02000685,Lewisham 033,-0.06308,51.42878
E02000686,Lewisham 034,-0.02189,51.423
E02000687,Lewisham 035,-0.04892,51.42582
E02000689,Merton 001,-0.19749,51.43349
E02000690,Merton 002,-0.23114,51.42842
E02000691,Merton 003,-0.19872,51.42465
E02000692,Merton 004,-0.21449,51.42165
E02000693,Merton 005,-0.17781,51.41936
E02000694,Merton 006,-0.18862,51.41971
E02000695,Merton 007,-0.15271,51.41677
E02000696,Merton 008,-0.16843,51.4155
E02000697,Merton 009,-0.19829,51.4147
E02000698,Merton 010,-0.23756,51.41407
E02000699,Merton 011,-0.21481,51.41189
E02000700,Merton 012,-0.18297,51.40998
E02000701,Merton 013,-0.16041,51.40981
E02000702,Merton 014,-0.14963,51.4034
E02000703,Merton 015,-0.20135,51.40699
E02000704,Merton 016,-0.22961,51.40613
E02000705,Merton 017,-0.13968,51.40564
E02000706,Merton 018,-0.17123,51.40565
E02000707,Merton 019,-0.13372,51.39761
E02000708,Merton 020,-0.23533,51.39733
E02000709,Merton 021,-0.21452,51.39778
E02000710,Merton 022,-0.16559,51.39556
E02000711,Merton 023,-0.19152,51.39793
E02000712,Merton 024,-0.19917,51.39075
E02000713,Merton 025,-0.22188,51.3875
E02000714,Newham 001,0.02302,51.55243
E02000715,Newham 002,0.0604,51.5523
E02000716,Newham 003,0.04656,51.55512
E02000717,Newham 004,0.04966,51.54981
E02000718,Newham 005,0.06317,51.54851
E02000719,Newham 006,0.01356,51.54925
E02000720,Newham 007,0.03308,51.54907
E02000721,Newham 008,0.02664,51.54487
E02000722,Newham 009,0.01293,51.54405
E02000723,Newham 010,0.05159,51.54279
E02000724,Newham 011,0.0429,51.54297
E02000725,Newham 012,0.00278,51.54256
E02000726,Newham 013,-0.00819,51.53955
E02000727,Newham 014,0.03685,51.53953
E02000728,Newham 015,0.06119,51.53985
E02000729,Newham 016,0.01914,51.53846
E02000730,Newham 017,0.02884,51.53808
E02000731,Newham 018,0.05113,51.53446
E02000732,Newham 019,0.04215,51.53396
E02000733,Newham 020,0.00779,51.53422
E02000734,Newham 021,0.01763,51.53348
E02000735,Newham 022,0.03059,51.53146
E02000736,Newham 023,0.06755,51.53
E02000737,Newham 024,0.05572,51.52853
E02000738,Newham 025,0.04306,51.52831
E02000739,Newham 026,0.02454,51.52716
E02000740,Newham 027,0.00751,51.52558
E02000741,Newham 028,0.0344,51.52379
E02000742,Newham 029,0.0513,51.52238
E02000743,Newham 030,0.0159,51.52077
E02000744,Newham 031,0.02576,51.5191
E02000745,Newham 032,0.0431,51.51705
E02000746,Newham 033,0.07551,51.51685
E02000747,Newham 034,0.01058,51.51378
E02000748,Newham 035,0.05207,51.51135
E02000749,Newham 036,0.03116,51.51126
E02000750,Newham 037,0.04653,51.50294
E02000751,Redbridge 001,0.02667,51.61511
E02000752,Redbridge 002,0.12932,51.61047
E02000753,Redbridge 003,0.10008,51.61015
E02000754,Redbridge 004,0.04215,51.60993
E02000755,Redbridge 005,0.05179,51.60523
E02000756,Redbridge 006,0.08408,51.60039
E02000757,Redbridge 007,0.02192,51.59751
E02000758,Redbridge 008,0.06025,51.59528
E02000759,Redbridge 009,0.03763,51.59409
E02000760,Redbridge 010,0.07569,51.5924
E02000762,Redbridge 012,0.06577,51.58247
E02000763,Redbridge 013,0.11213,51.59148
E02000764,Redbridge 014,0.02124,51.5832
E02000765,Redbridge 015,0.07171,51.58003
E02000767,Redbridge 017,0.08173,51.57951
E02000768,Redbridge 018,0.03463,51.57599
E02000769,Redbridge 019,0.12353,51.57527
E02000770,Redbridge 020,0.09654,51.57312
E02000772,Redbridge 022,0.11186,51.57298
E02000773,Redbridge 023,0.08216,51.56928
E02000774,Redbridge 024,0.09983,51.56811
E02000776,Redbridge 026,0.07575,51.56527
E02000777,Redbridge 027,0.03191,51.56306
E02000779,Redbridge 029,0.06403,51.56142
E02000780,Redbridge 030,0.08125,51.55699
E02000781,Redbridge 031,0.09708,51.5542
E02000782,Redbridge 032,0.07104,51.55204
E02000783,Redbridge 033,0.07922,51.54742
E02000784,Richmond upon Thames 001,-0.23738,51.47958
E02000785,Richmond upon Thames 002,-0.29849,51.47369
E02000786,Richmond upon Thames 003,-0.25,51.46894
E02000787,Richmond upon Thames 004,-0.28266,51.47011
E02000788,Richmond upon Thames 005,-0.26684,51.46416
E02000789,Richmond upon Thames 006,-0.28799,51.45684
E02000790,Richmond upon Thames 007,-0.32146,51.4587
E02000791,Richmond upon Thames 008,-0.3017,51.45741
E02000792,Richmond upon Thames 009,-0.31388,51.45249
E02000793,Richmond upon Thames 010,-0.35877,51.454
E02000794,Richmond upon Thames 011,-0.3386,51.45248
E02000795,Richmond upon Thames 012,-0.27901,51.4419
E02000796,Richmond upon Thames 013,-0.37179,51.44832
E02000797,Richmond upon Thames 014,-0.33256,51.4467
E02000798,Richmond upon Thames 015,-0.35858,51.43943
E02000799,Richmond upon Thames 016,-0.3389,51.4387
E02000800,Richmond upon Thames 017,-0.3198,51.43793
E02000801,Richmond upon Thames 018,-0.33721,51.43161
E02000802,Richmond upon Thames 019,-0.35408,51.42717
E02000803,Richmond upon Thames 020,-0.37495,51.42788
E02000804,Richmond upon Thames 021,-0.33576,51.41832
E02000805,Richmond upon Thames 022,-0.31546,51.41671
E02000806,Richmond upon Thames 023,-0.35028,51.4095
E02000807,Southwark 001,-0.0426,51.50341
E02000808,Southwark 002,-0.09713,51.50415
E02000809,Southwark 003,-0.07867,51.50154
E02000810,Southwark 004,-0.06884,51.49741
E02000812,Southwark 006,-0.08541,51.49795
E02000813,Southwark 007,-0.05216,51.49674
E02000814,Southwark 008,-0.03863,51.49708
E02000815,Southwark 009,-0.09533,51.49618
E02000816,Southwark 010,-0.06516,51.49058
E02000817,Southwark 011,-0.05602,51.49058
E02000818,Southwark 012,-0.09221,51.49067
E02000819,Southwark 013,-0.07439,51.49001
E02000820,Southwark 014,-0.10262,51.48773
E02000821,Southwark 015,-0.0791,51.48606
E02000822,Southwark 016,-0.0885,51.48596
E02000823,Southwark 017,-0.09573,51.48261
E02000824,Southwark 018,-0.06375,51.48171
E02000825,Southwark 019,-0.07795,51.47824
E02000826,Southwark 020,-0.08667,51.47698
E02000827,Southwark 021,-0.0968,51.47609
E02000828,Southwark 022,-0.06732,51.47462
E02000829,Southwark 023,-0.05768,51.47371
E02000830,Southwark 024,-0.0836,51.46917
E02000831,Southwark 025,-0.07186,51.46808
E02000832,Southwark 026,-0.05873,51.46526
E02000833,Southwark 027,-0.08642,51.46176
E02000834,Southwark 028,-0.06802,51.45867
E02000835,Southwark 029,-0.05111,51.45634
E02000836,Southwark 030,-0.07793,51.45481
E02000837,Southwark 031,-0.08785,51.44902
E02000838,Southwark 032,-0.06724,51.44834
E02000839,Southwark 033,-0.0787,51.43442
E02000840,Sutton 001,-0.16928,51.38696
E02000841,Sutton 002,-0.18602,51.38298
E02000842,Sutton 003,-0.20878,51.38011
E02000843,Sutton 004,-0.1603,51.37794
E02000844,Sutton 005,-0.17147,51.37681
E02000845,Sutton 006,-0.23821,51.37965
E02000846,Sutton 007,-0.19259,51.37628
E02000847,Sutton 008,-0.231,51.37473
E02000848,Sutton 009,-0.21899,51.37068
E02000849,Sutton 010,-0.15098,51.36897
E02000850,Sutton 011,-0.13789,51.37638
E02000851,Sutton 012,-0.19115,51.36679
E02000852,Sutton 013,-0.18,51.36739
E02000853,Sutton 014,-0.20596,51.36677
E02000854,Sutton 015,-0.16771,51.36386
E02000855,Sutton 016,-0.2185,51.3588
E02000856,Sutton 017,-0.1457,51.35765
E02000857,Sutton 018,-0.19823,51.35768
E02000858,Sutton 019,-0.12988,51.35628
E02000859,Sutton 020,-0.15673,51.3537
E02000860,Sutton 021,-0.18938,51.35374
E02000861,Sutton 022,-0.1798,51.34929
E02000863,Sutton 024,-0.15528,51.33883
E02000864,Tower Hamlets 001,-0.02886,51.53865
E02000865,Tower Hamlets 002,-0.05411,51.53191
E02000866,Tower Hamlets 003,-0.03899,51.53195
E02000867,Tower Hamlets 004,-0.02316,51.53171
E02000868,Tower Hamlets 005,-0.06192,51.53028
E02000869,Tower Hamlets 006,-0.07137,51.5284
E02000870,Tower Hamlets 007,-0.04866,51.52761
E02000871,Tower Hamlets 008,-0.01384,51.52512
E02000872,Tower Hamlets 009,-0.06932,51.5246
E02000873,Tower Hamlets 010,-0.04206,51.52511
E02000874,Tower Hamlets 011,-0.0529,51.52471
E02000875,Tower Hamlets 012,-0.02209,51.52237
E02000876,Tower Hamlets 013,-0.05898,51.5226
E02000877,Tower Hamlets 014,-0.03019,51.5202
E02000878,Tower Hamlets 015,-0.0716,51.51901
E02000879,Tower Hamlets 016,-0.04816,51.51733
E02000880,Tower Hamlets 017,-0.05594,51.51737
E02000881,Tower Hamlets 018,-0.00849,51.51642
E02000882,Tower Hamlets 019,-0.03978,51.51675
E02000883,Tower Hamlets 020,-0.01341,51.51351
E02000884,Tower Hamlets 021,-0.0665,51.5142
E02000885,Tower Hamlets 022,-0.05339,51.51258
E02000886,Tower Hamlets 023,-0.03158,51.51173
E02000887,Tower Hamlets 024,-0.02108,51.51137
E02000888,Tower Hamlets 025,-0.04813,51.51066
E02000889,Tower Hamlets 026,-0.06371,51.50824
E02000890,Tower Hamlets 027,-0.06548,51.5066
E02000891,Tower Hamlets 028,-0.0074,51.50477
E02000893,Tower Hamlets 030,-0.00915,51.49135
E02000894,Tower Hamlets 031,-0.01969,51.49022
E02000895,Waltham Forest 001,-0.0092,51.63494
E02000896,Waltham Forest 002,0.00988,51.63315
E02000897,Waltham Forest 003,0.01091,51.61906
E02000898,Waltham Forest 004,-0.00573,51.6184
E02000899,Waltham Forest 005,-0.01761,51.61846
E02000900,Waltham Forest 006,-0.02534,51.61141
E02000901,Waltham Forest 007,0.00514,51.60744
E02000902,Waltham Forest 008,-0.0106,51.60391
E02000903,Waltham Forest 009,-0.03288,51.60095
E02000904,Waltham Forest 010,0.00225,51.5971
E02000905,Waltham Forest 011,-0.01833,51.59388
E02000906,Waltham Forest 012,-0.02784,51.59065
E02000907,Waltham Forest 013,-0.00485,51.58846
E02000908,Waltham Forest 014,-0.04427,51.58898
E02000909,Waltham Forest 015,0.00153,51.58547
E02000910,Waltham Forest 016,-0.01796,51.58227
E02000911,Waltham Forest 017,-0.02952,51.58205
E02000912,Waltham Forest 018,-0.04335,51.57611
E02000913,Waltham Forest 019,-0.00114,51.57552
E02000914,Waltham Forest 020,-0.01347,51.57413
E02000915,Waltham Forest 021,0.00849,51.57511
E02000916,Waltham Forest 022,-0.03519,51.56753
E02000917,Waltham Forest 023,-0.00904,51.56648
E02000918,Waltham Forest 024,0.01179,51.56599
E02000919,Waltham Forest 025,-0.00367,51.56216
E02000920,Waltham Forest 026,-0.01587,51.55894
E02000921,Waltham Forest 027,0.00202,51.55727
E02000922,Waltham Forest 028,0.01214,51.55583
E02000923,Wandsworth 001,-0.1612,51.4781
E02000924,Wandsworth 002,-0.14267,51.47767
E02000925,Wandsworth 003,-0.16258,51.47328
E02000926,Wandsworth 004,-0.17529,51.47097
E02000927,Wandsworth 005,-0.15403,51.46789
E02000928,Wandsworth 006,-0.22523,51.46736
E02000929,Wandsworth 007,-0.17689,51.46578
E02000930,Wandsworth 008,-0.16542,51.46619
E02000931,Wandsworth 009,-0.15656,51.46037
E02000932,Wandsworth 010,-0.20287,51.46123
E02000933,Wandsworth 011,-0.23046,51.46101
E02000934,Wandsworth 012,-0.17893,51.46074
E02000935,Wandsworth 013,-0.25014,51.45811
E02000936,Wandsworth 014,-0.21598,51.45584
E02000937,Wandsworth 015,-0.16859,51.45265
E02000938,Wandsworth 016,-0.2326,51.4527
E02000939,Wandsworth 017,-0.15715,51.45276
E02000940,Wandsworth 018,-0.19364,51.45271
E02000941,Wandsworth 019,-0.18259,51.45235
E02000942,Wandsworth 020,-0.20566,51.45033
E02000943,Wandsworth 021,-0.15314,51.44836
E02000944,Wandsworth 022,-0.21561,51.44853
E02000945,Wandsworth 023,-0.2382,51.4422
E02000946,Wandsworth 024,-0.1818,51.44451
E02000947,Wandsworth 025,-0.19819,51.44474
E02000948,Wandsworth 026,-0.14458,51.4378
E02000949,Wandsworth 027,-0.16751,51.44109
E02000950,Wandsworth 028,-0.21487,51.44134
E02000951,Wandsworth 029,-0.15859,51.43808
E02000952,Wandsworth 030,-0.15222,51.43616
E02000953,Wandsworth 031,-0.18411,51.43576
E02000954,Wandsworth 032,-0.1619,51.43239
E02000955,Wandsworth 033,-0.16688,51.43083
E02000956,Wandsworth 034,-0.17717,51.42814
E02000957,Wandsworth 035,-0.1643,51.42446
E02000958,Wandsworth 036,-0.14899,51.42535
E02000959,Wandsworth 037,-0.14231,51.42322
E02000960,Westminster 001,-0.16497,51.53502
E02000961,Westminster 002,-0.18386,51.53405
E02000962,Westminster 003,-0.17346,51.52954
E02000963,Westminster 004,-0.20939,51.52907
E02000964,Westminster 005,-0.20129,51.52784
E02000965,Westminster 006,-0.19154,51.52714
E02000966,Westminster 007,-0.18299,51.5251
E02000967,Westminster 008,-0.15791,51.52736
E02000968,Westminster 009,-0.17133,51.52322
E02000969,Westminster 010,-0.19314,51.52134
E02000970,Westminster 011,-0.15137,51.51689
E02000971,Westminster 012,-0.16199,51.51823
E02000972,Westminster 013,-0.1397,51.51521
E02000973,Westminster 014,-0.19335,51.51729
E02000974,Westminster 015,-0.17071,51.51593
E02000975,Westminster 016,-0.17987,51.51494
E02000976,Westminster 017,-0.18768,51.51356
E02000977,Westminster 018,-0.13352,51.50783
E02000978,Westminster 019,-0.16677,51.5044
E02000979,Westminster 020,-0.13446,51.49888
E02000980,Westminster 021,-0.13097,51.49209
E02000981,Westminster 022,-0.14154,51.49061
E02000982,Westminster 023,-0.14822,51.49076
E02000983,Westminster 024,-0.13613,51.4873
E02006782,Bromley 040,0.02442,51.42007
E02006783,Lewisham 037,0.01082,51.42782
E02006784,Lewisham 038,-0.00426,51.42212
E02006785,Bexley 029,0.09924,51.46984
E02006786,Greenwich 033,0.10166,51.47956
E02006787,Bromley 041,-0.04037,51.39923
E02006788,Croydon 045,-0.05816,51.39392
E02006789,Bromley 042,0.04763,51.32141
E02006791,Ealing 040,-0.26557,51.49847
E02006792,Hounslow 029,-0.27283,51.49372
E02006793,Enfield 037,-0.07612,51.61205
E02006794,Haringey 037,-0.06915,51.60412
E02006795,Harrow 032,-0.37638,51.5709
E02006796,Hillingdon 033,-0.39834,51.55336
E02006798,Lewisham 039,-0.03181,51.47846
E02006799,Barking and Dagenham 023,0.12715,51.56086
E02006800,Redbridge 034,0.11068,51.56164
E02006801,Lambeth 036,-0.11399,51.50137
E02006802,Southwark 034,-0.10465,51.49805
E02006836,Sutton 025,-0.21112,51.34281
E02006853,Tower Hamlets 032,-0.02192,51.49659
E02006854,Tower Hamlets 033,-0.02143,51.50422
E02006882,Harrow 033,-0.31372,51.5906
E02006918,Hackney 028,-0.05154,51.56378
E02006921,Hackney 029,-0.05969,51.56622
E02006924,Redbridge 035,0.05914,51.5707
E02006925,Redbridge 036,0.05215,51.58506
E02006927,Greenwich 034,0.02366,51.45811
E02006928,Greenwich 035,-0.01841,51.48075
E02006929,Greenwich 036,0.01164,51.49339
E02006930,Greenwich 037,0.01172,51.48618
E02006931,Greenwich 038,-0.00533,51.47635
