20.1 km,71
18.0 km,51
19.8 km,79
15.9 km,69
17.7 km,73
18.0 km,81
14.8 km,50
9.3 km,55
13.2 km,61
11.0 km,64
13.7 km,60
12.0 km,65
21.0 km,92
9.8 km,52
17.8 km,87
20.1 km,71
15.2 km,72
12.7 km,65
11.0 km,57
11.8 km,58
16.7 km,79
17.2 km,72
19.1 km,76
12.4 km,67
18.5 km,86
20.5 km,88
14.6 km,64
14.2 km,66
20.5 km,87
20.2 km,69
16.2 km,72
15.4 km,74
15.9 km,74
21.8 km,85
21.4 km,85
22.4 km,89
17.4 km,75
26.0 km,103
18.8 km,75
19.2 km,76
20.5 km,83
23.7 km,85
21.6 km,66
18.8 km,46
19.3 km,52
21.9 km,72
22.6 km,60
19.0 km,62
19.4 km,58
21.0 km,65
24.3 km,52
19.4 km,69
25.2 km,72
19.9 km,67
25.4 km,71
28.3 km,90
23.4 km,78
27.2 km,90
28.8 km,87
24.4 km,86
30.3 km,89
28.1 km,89
22.1 km,107
23.4 km,99
23.3 km,97
22.0 km,80
23.4 km,84
Error
12.6 km,56
13.5 km,60
