18.6 km,57,7,E02000008,Barking and Dagenham 007,0.1353,51.55264
21.9 km,53,6,E02000007,Barking and Dagenham 006,0.15733,51.55809
21.2 km,55,5,E02000005,Barking and Dagenham 004,0.14332,51.56142
22.4 km,59,4,E02000004,Barking and Dagenham 003,0.17683,51.55548
18.7 km,45,3,E02000003,Barking and Dagenham 002,0.1409,51.57493
22.0 km,56,2,E02000002,Barking and Dagenham 001,0.13948,51.58827
1 m,1,1,E02000001,City of London 001,-0.09213,51.51482
13.7 km,47,90,E02000932,Wandsworth 010,-0.20287,51.46123
8.8 km,37,89,E02000931,Wandsworth 009,-0.15656,51.46037
9.7 km,31,88,E02000930,Wandsworth 008,-0.16542,51.46619
9.8 km,31,87,E02000929,Wandsworth 007,-0.17689,51.46578
13.7 km,47,86,E02000928,Wandsworth 006,-0.22523,51.46736
9.5 km,42,85,E02000927,Wandsworth 005,-0.15403,51.46789
10.3 km,38,84,E02000926,Wandsworth 004,-0.17529,51.47097
8.8 km,50,83,E02000925,Wandsworth 003,-0.16258,51.47328
7.8 km,34,82,E02000924,Wandsworth 002,-0.14267,51.47767
8.9 km,54,81,E02000923,Wandsworth 001,-0.1612,51.4781
11.4 km,36,80,E02000922,Waltham Forest 028,0.01214,51.55583
10.3 km,32,79,E02000921,Waltham Forest 027,0.00202,51.55727
10.5 km,35,78,E02000920,Waltham Forest 026,-0.01587,51.55894
10.3 km,33,77,E02000919,Waltham Forest 025,-0.00367,51.56216
11.6 km,30,76,E02000918,Waltham Forest 024,0.01179,51.56599
11.2 km,32,75,E02000917,Waltham Forest 023,-0.00904,51.56648
12.1 km,39,74,E02000916,Waltham Forest 022,-0.03519,51.56753
12.2 km,38,73,E02000915,Waltham Forest 021,0.00849,51.57511
12.2 km,37,72,E02000914,Waltham Forest 020,-0.01347,51.57413
12.6 km,37,71,E02000913,Waltham Forest 019,-0.00114,51.57552
10.7 km,38,70,E02000912,Waltham Forest 018,-0.04335,51.57611
10.2 km,32,69,E02000911,Waltham Forest 017,-0.02952,51.58205
17.5 km,42,68,E02000910,Waltham Forest 016,-0.01796,51.58227
12.4 km,37,67,E02000909,Waltham Forest 015,0.00153,51.58547
16.3 km,42,66,E02000908,Waltham Forest 014,-0.04427,51.58898
12.4 km,36,65,E02000907,Waltham Forest 013,-0.00485,51.58846
16.7 km,48,64,E02000906,Waltham Forest 012,-0.02784,51.59065
14.6 km,59,63,E02000905,Waltham Forest 011,-0.01833,51.59388
21.5 km,56,62,E02000904,Waltham Forest 010,0.00225,51.5971
16.5 km,58,61,E02000903,Waltham Forest 009,-0.03288,51.60095
15.4 km,46,60,E02000902,Waltham Forest 008,-0.0106,51.60391
15.0 km,41,59,E02000901,Waltham Forest 007,0.00514,51.60744
19.2 km,72,58,E02000900,Waltham Forest 006,-0.02534,51.61141
19.2 km,68,57,E02000899,Waltham Forest 005,-0.01761,51.61846
16.8 km,53,56,E02000898,Waltham Forest 004,-0.00573,51.6184
20.1 km,55,55,E02000897,Waltham Forest 003,0.01091,51.61906
17.4 km,45,54,E02000896,Waltham Forest 002,0.00988,51.63315
21.6 km,67,53,E02000895,Waltham Forest 001,-0.0092,51.63494
8.3 km,29,52,E02000894,Tower Hamlets 031,-0.01969,51.49022
8.8 km,29,51,E02000893,Tower Hamlets 030,-0.00915,51.49135
7.9 km,29,50,E02000891,Tower Hamlets 028,-0.0074,51.50477
3.4 km,28,49,E02000890,Tower Hamlets 027,-0.06548,51.5066
3.8 km,20,48,E02000889,Tower Hamlets 026,-0.06371,51.50824
3.7 km,19,47,E02000888,Tower Hamlets 025,-0.04813,51.51066
5.8 km,23,46,E02000887,Tower Hamlets 024,-0.02108,51.51137
5.6 km,20,45,E02000886,Tower Hamlets 023,-0.03158,51.51173
3.3 km,14,44,E02000885,Tower Hamlets 022,-0.05339,51.51258
2.8 km,19,43,E02000884,Tower Hamlets 021,-0.0665,51.5142
7.8 km,29,42,E02000883,Tower Hamlets 020,-0.01341,51.51351
4.7 km,20,41,E02000882,Tower Hamlets 019,-0.03978,51.51675
8.0 km,36,40,E02000881,Tower Hamlets 018,-0.00849,51.51642
3.8 km,22,39,E02000880,Tower Hamlets 017,-0.05594,51.51737
4.3 km,23,38,E02000879,Tower Hamlets 016,-0.04816,51.51733
2.9 km,20,37,E02000878,Tower Hamlets 015,-0.0716,51.51901
5.6 km,25,36,E02000877,Tower Hamlets 014,-0.03019,51.5202
4.0 km,21,35,E02000876,Tower Hamlets 013,-0.05898,51.5226
6.0 km,30,34,E02000875,Tower Hamlets 012,-0.02209,51.52237
3.7 km,17,33,E02000874,Tower Hamlets 011,-0.0529,51.52471
5.0 km,25,32,E02000873,Tower Hamlets 010,-0.04206,51.52511
3.1 km,25,31,E02000872,Tower Hamlets 009,-0.06932,51.5246
7.2 km,27,30,E02000871,Tower Hamlets 008,-0.01384,51.52512
3.8 km,19,29,E02000870,Tower Hamlets 007,-0.04866,51.52761
3.0 km,27,28,E02000869,Tower Hamlets 006,-0.07137,51.5284
4.0 km,21,27,E02000868,Tower Hamlets 005,-0.06192,51.53028
6.8 km,32,26,E02000867,Tower Hamlets 004,-0.02316,51.53171
4.8 km,25,25,E02000866,Tower Hamlets 003,-0.03899,51.53195
4.0 km,21,24,E02000865,Tower Hamlets 002,-0.05411,51.53191
6.2 km,36,23,E02000864,Tower Hamlets 001,-0.02886,51.53865
26.6 km,73,22,E02000863,Sutton 024,-0.15528,51.33883
24.8 km,65,21,E02000861,Sutton 022,-0.1798,51.34929
25.3 km,58,20,E02000860,Sutton 021,-0.18938,51.35374
23.7 km,56,19,E02000859,Sutton 020,-0.15673,51.3537
22.5 km,61,18,E02000858,Sutton 019,-0.12988,51.35628
24.9 km,53,17,E02000857,Sutton 018,-0.19823,51.35768
23.2 km,50,16,E02000856,Sutton 017,-0.1457,51.35765
26.9 km,61,15,E02000855,Sutton 016,-0.2185,51.3588
22.9 km,51,14,E02000854,Sutton 015,-0.16771,51.36386
23.1 km,68,13,E02000853,Sutton 014,-0.20596,51.36677
21.9 km,65,12,E02000852,Sutton 013,-0.18,51.36739
20.8 km,59,11,E02000851,Sutton 012,-0.19115,51.36679
