11.8 km,38
12.2 km,72
10.7 km,69
10.8 km,66
10.6 km,39
12.5 km,51
11.2 km,44
11.4 km,39
11.5 km,74
12.8 km,78
14.0 km,54
13.6 km,48
11.8 km,41
11.2 km,55
12.2 km,60
10.7 km,49
12.0 km,53
11.1 km,49
10.0 km,39
11.4 km,45
12.8 km,54
10.9 km,46
12.3 km,51
11.6 km,49
12.3 km,55
13.9 km,54
12.4 km,52
14.8 km,57
14.6 km,63
14.7 km,64
11.8 km,59
10.2 km,44
11.5 km,60
10.9 km,45
13.7 km,56
11.9 km,52
11.6 km,53
17.8 km,76
2.6 km,17
2.6 km,13
3.3 km,22
4.0 km,26
5.0 km,25
5.9 km,29
4.4 km,22
6.0 km,34
7.3 km,35
7.5 km,32
6.4 km,31
7.1 km,37
9.4 km,40
5.7 km,29
8.4 km,39
5.4 km,25
8.3 km,38
8.5 km,41
6.6 km,53
6.9 km,27
6.9 km,25
7.6 km,38
9.9 km,46
8.1 km,61
7.3 km,28
8.3 km,60
17.3 km,65
16.6 km,79
17.2 km,62
13.6 km,53
15.0 km,49
14.9 km,53
13.6 km,54
16.1 km,61
14.2 km,56
12.3 km,50
15.7 km,54
13.6 km,49
Error
Error
15.7 km,62
Error
14.4 km,276
17.0 km,60
17.8 km,293
22.2 km,78
28.2 km,99
29.7 km,108
29.2 km,99
27.8 km,91
32.8 km,138
28.3 km,98
28.0 km,108
27.9 km,111
35.6 km,101
34.8 km,103
35.1 km,96
31.1 km,91
32.9 km,115
39.3 km,132
35.4 km,122
37.7 km,131
36.3 km,129
38.6 km,131
35.4 km,114
33.0 km,103
31.9 km,101
32.2 km,112
39.7 km,117
30.1 km,96
31.3 km,140
25.0 km,86
29.6 km,98
28.5 km,82
35.9 km,65
21.4 km,81
24.5 km,77
33.4 km,116
29.7 km,106
25.5 km,75
27.1 km,91
28.3 km,98
30.4 km,106
27.4 km,91
28.2 km,101
34.4 km,122
29.2 km,95
30.7 km,105
30.2 km,97
30.8 km,110
32.8 km,98
31.8 km,109
29.5 km,113
28.3 km,101
24.4 km,101
29.4 km,114
27.0 km,102
44.4 km,163
24.9 km,101
24.3 km,89
31.0 km,129
25.1 km,102
25.3 km,94
28.3 km,114
21.4 km,84
28.4 km,95
28.2 km,114
26.3 km,96
22.2 km,92
26.8 km,96
21.0 km,89
33.1 km,116
23.3 km,93
23.7 km,83
48.6 km,137
27.6 km,101
30.5 km,137
25.1 km,102
24.0 km,94
25.0 km,105
8.4 km,36
9.3 km,33
10.4 km,60
10.5 km,43
8.6 km,38
7.8 km,28
10.7 km,44
8.8 km,62
11.3 km,54
8.8 km,31
9.9 km,40
9.4 km,63
11.2 km,41
9.3 km,32
12.4 km,50
11.1 km,41
27.4 km,88
27.6 km,91
29.5 km,103
25.0 km,91
9.5 km,39
9.4 km,58
8.4 km,37
7.1 km,35
9.8 km,52
7.9 km,48
9.9 km,49
7.4 km,46
8.7 km,47
7.3 km,48
9.2 km,43
8.1 km,42
9.8 km,51
8.2 km,50
9.0 km,52
8.5 km,51
9.6 km,58
9.6 km,57
11.0 km,63
11.0 km,61
10.8 km,60
2.1 km,15
1.8 km,22
3.6 km,21
3.6 km,18
4.5 km,29
3.4 km,16
5.0 km,25
5.0 km,26
6.7 km,34
4.6 km,19
5.6 km,23
4.6 km,17
6.0 km,23
7.3 km,36
5.8 km,25
7.6 km,33
6.8 km,29
6.7 km,29
7.4 km,36
8.3 km,32
8.0 km,38
8.4 km,35
8.6 km,40
27.3 km,97
30.8 km,129
25.5 km,90
35.7 km,125
36.5 km,125
33.6 km,156
33.9 km,119
24.9 km,100
21.5 km,92
22.0 km,86
22.2 km,77
22.8 km,78
24.2 km,86
20.9 km,72
20.0 km,76
25.8 km,89
22.3 km,89
24.1 km,91
25.1 km,91
21.4 km,90
15.7 km,74
15.4 km,74
18.5 km,73
29.2 km,112
24.9 km,99
16.6 km,71
13.2 km,54
27.3 km,97
32.0 km,99
31.3 km,114
32.9 km,108
32.2 km,112
32.6 km,121
23.6 km,98
35.4 km,127
25.8 km,95
24.8 km,114
34.2 km,108
24.2 km,90
35.2 km,124
26.7 km,94
26.1 km,104
18.3 km,76
14.8 km,68
13.7 km,62
18.7 km,67
18.0 km,67
20.4 km,79
14.9 km,58
13.4 km,62
17.8 km,72
12.8 km,61
14.2 km,43
17.3 km,65
17.0 km,67
12.8 km,60
12.2 km,64
14.6 km,48
16.0 km,58
14.3 km,65
14.4 km,45
12.3 km,47
11.6 km,62
15.4 km,59
13.5 km,60
11.9 km,45
11.3 km,37
11.5 km,40
13.0 km,61
12.7 km,64
11.2 km,36
9.5 km,34
9.5 km,35
12.1 km,61
11.1 km,41
9.2 km,32
9.2 km,32
7.7 km,32
8.7 km,31
7.3 km,32
8.5 km,37
7.7 km,34
13.1 km,49
12.6 km,52
12.9 km,61
11.8 km,46
11.7 km,55
18.9 km,70
10.7 km,43
10.9 km,53
11.1 km,53
10.0 km,41
10.4 km,56
10.4 km,50
10.7 km,53
9.6 km,45
9.0 km,37
8.7 km,38
8.9 km,50
8.6 km,39
10.1 km,44
7.5 km,35
9.7 km,45
7.3 km,42
8.7 km,44
8.2 km,44
7.0 km,31
7.7 km,40
7.0 km,35
7.4 km,39
5.9 km,29
7.5 km,43
5.3 km,25
6.3 km,31
5.4 km,31
4.4 km,25
36.6 km,107
34.0 km,100
31.8 km,98
35.1 km,137
30.8 km,95
24.7 km,89
32.0 km,115
30.1 km,94
24.8 km,92
28.9 km,91
27.8 km,102
27.4 km,89
23.8 km,72
23.7 km,80
25.2 km,78
26.0 km,79
23.1 km,89
20.4 km,85
17.8 km,73
18.8 km,71
17.1 km,70
20.2 km,83
15.7 km,67
16.4 km,66
14.3 km,58
17.4 km,65
15.0 km,59
13.8 km,57
15.4 km,73
15.0 km,59
17.2 km,74
15.7 km,67
18.1 km,79
16.9 km,80
19.3 km,87
15.0 km,59
18.7 km,70
17.9 km,64
15.4 km,70
34.0 km,131
18.0 km,70
19.6 km,74
18.1 km,68
19.9 km,75
18.6 km,63
20.4 km,69
22.2 km,101
21.7 km,84
22.4 km,80
24.0 km,95
21.0 km,68
14.9 km,58
11.6 km,42
15.3 km,60
8.8 km,37
18.3 km,61
13.6 km,46
10.4 km,44
9.9 km,39
13.4 km,63
11.2 km,47
10.2 km,50
10.6 km,44
11.9 km,47
13.2 km,54
14.0 km,58
11.5 km,46
10.3 km,53
9.4 km,46
12.0 km,46
12.6 km,48
10.8 km,52
10.7 km,49
14.1 km,56
12.0 km,55
7.6 km,38
8.5 km,36
11.8 km,51
12.8 km,57
9.6 km,39
10.4 km,43
11.0 km,45
10.1 km,46
13.7 km,58
11.9 km,47
12.9 km,53
13.1 km,50
11.0 km,51
23.8 km,96
24.4 km,89
19.9 km,69
19.2 km,72
22.7 km,96
22.3 km,76
15.5 km,61
17.8 km,67
14.4 km,52
20.7 km,70
17.0 km,77
16.2 km,58
18.3 km,71
15.0 km,73
20.2 km,72
21.4 km,77
18.5 km,70
18.1 km,73
