27.4 km,75,90,E02000468,Havering 005,0.15629,51.61091
30.3 km,71,89,E02000467,Havering 004,0.21907,51.60377
28.0 km,80,88,E02000466,Havering 003,0.18447,51.61299
27.6 km,59,87,E02000465,Havering 002,0.24209,51.60733
29.4 km,73,86,E02000464,Havering 001,0.22306,51.61857
25.3 km,65,85,E02000463,Harrow 031,-0.37407,51.55984
24.1 km,60,84,E02000462,Harrow 030,-0.35968,51.5605
23.3 km,61,83,E02000461,Harrow 029,-0.33619,51.56798
24.7 km,60,82,E02000460,Harrow 028,-0.36831,51.56725
23.5 km,59,81,E02000459,Harrow 027,-0.35197,51.56861
24.1 km,54,80,E02000457,Harrow 025,-0.36854,51.57711
22.4 km,49,79,E02000456,Harrow 024,-0.35391,51.57925
21.8 km,50,78,E02000455,Harrow 023,-0.33099,51.58084
25.9 km,68,77,E02000454,Harrow 022,-0.38492,51.5829
23.1 km,57,76,E02000453,Harrow 021,-0.35116,51.58515
22.4 km,58,75,E02000452,Harrow 020,-0.33823,51.58816
24.2 km,62,74,E02000451,Harrow 019,-0.3681,51.58998
23.7 km,60,73,E02000449,Harrow 017,-0.29257,51.59053
24.9 km,51,72,E02000448,Harrow 016,-0.38211,51.59433
25.0 km,62,71,E02000447,Harrow 015,-0.35842,51.59686
25.2 km,66,70,E02000445,Harrow 013,-0.32996,51.59533
22.3 km,64,69,E02000444,Harrow 012,-0.30213,51.59789
24.6 km,70,68,E02000443,Harrow 011,-0.33909,51.59955
21.9 km,64,67,E02000442,Harrow 010,-0.28655,51.59971
29.3 km,65,66,E02000441,Harrow 009,-0.39358,51.60577
25.7 km,61,65,E02000440,Harrow 008,-0.31169,51.60495
21.2 km,60,64,E02000439,Harrow 007,-0.28014,51.6044
26.5 km,70,63,E02000438,Harrow 006,-0.36541,51.6066
27.5 km,74,62,E02000437,Harrow 005,-0.33886,51.6072
26.4 km,77,61,E02000436,Harrow 004,-0.35952,51.61649
28.2 km,69,60,E02000435,Harrow 003,-0.32163,51.61192
25.1 km,59,59,E02000434,Harrow 002,-0.29371,51.6123
28.0 km,65,58,E02000433,Harrow 001,-0.31838,51.62607
8.5 km,34,57,E02000432,Haringey 036,-0.10862,51.57242
