s1,s2,score,distance,cluster
157,148,600,300,6
175,174,600,300,6
304,106,600,300,6
381,378,600,300,6
389,387,600,300,6
448,263,600,300,6
497,304,600,300,6
503,502,600,300,6
563,259,600,300,6
603,176,601,291,6
576,207,602,212,6
560,276,603,187,6
652,509,603,270,6
486,275,603,271,6
620,225,604,225,6
12,6,605,201,6
471,191,607,241,6
331,330,609,87,6
388,387,612,206,6
148,6,613,257,6
442,378,614,207,6
654,532,614,352,6
498,138,616,226,6
497,121,617,231,6
440,349,618,272,6
509,346,620,278,6
409,388,621,147,6
560,547,621,193,6
192,191,621,248,6
581,255,621,307,6
102,57,623,116,6
576,197,624,223,6
314,140,626,213,6
659,448,628,214,6
665,186,628,322,6
554,279,629,201,6
268,54,629,220,6
530,290,630,228,6
621,225,631,228,6
616,299,631,249,6
298,297,632,244,6
529,297,632,244,6
560,559,633,197,6
483,174,633,233,6
622,353,633,315,6
347,234,633,371,6
495,457,634,217,6
576,196,634,228,6
329,39,636,243,6
569,440,637,279,6
635,440,637,279,6
118,115,642,221,7
655,136,643,228,7
84,2,643,229,7
282,118,643,244,7
536,305,645,215,7
530,529,648,274,7
530,298,648,274,7
465,278,649,187,7
324,155,650,225,7
485,174,651,194,7
207,191,651,271,7
576,473,654,238,7
205,204,656,252,7
474,204,656,252,7
486,273,657,289,7
117,115,658,94,7
325,182,660,256,7
358,116,660,314,7
314,141,662,225,7
197,191,662,282,7
286,76,663,231,7
476,205,663,252,7
476,474,663,252,7
53,6,665,283,7
660,260,666,233,7
660,563,666,233,7
196,191,667,287,7
634,506,667,375,7
532,466,668,234,7
261,257,671,250,7
487,271,671,374,7
198,193,673,293,7
560,548,675,211,7
600,130,675,251,7
429,324,675,325,7
564,260,676,238,7
577,298,676,238,7
577,529,676,238,7
634,366,676,378,7
205,198,677,259,7
205,203,677,259,7
474,203,677,259,7
474,198,677,259,7
521,409,677,295,7
473,191,677,297,7
492,38,678,237,7
489,488,678,326,7
125,109,679,243,7
226,225,679,252,7
576,200,680,251,7
249,247,681,227,7
318,222,681,302,7
318,221,681,302,7
624,288,684,364,7
428,426,685,231,7
412,353,688,86,7
475,195,690,244,7
199,193,690,310,7
200,191,690,310,7
203,193,690,310,7
267,193,690,310,7
454,380,691,235,7
381,376,692,246,7
343,261,692,270,7
342,263,694,286,7
427,46,694,288,7
473,471,695,265,7
573,57,696,229,7
54,47,698,177,7
649,388,699,186,7
219,218,699,269,7
116,115,700,100,7
576,193,700,261,7
259,258,700,300,7
263,259,700,300,7
273,271,700,300,7
275,271,700,300,7
305,242,700,300,7
569,350,700,300,7
604,273,700,300,7
604,275,700,300,7
635,350,700,300,7
656,539,700,300,7
663,186,700,300,7
193,191,700,320,7
195,191,702,256,7
539,450,702,332,7
524,523,703,301,7
198,195,703,303,7
198,197,703,303,7
198,196,703,303,7
491,273,704,252,7
491,275,704,252,7
409,389,705,175,7
659,343,706,240,7
619,227,707,269,7
206,195,708,208,7
470,195,708,208,7
249,248,708,214,7
563,343,708,238,7
193,192,708,266,7
616,303,709,275,7
206,205,710,205,7
470,205,710,205,7
528,136,711,262,7
268,45,711,314,7
326,99,712,256,7
318,316,714,313,7
375,19,716,272,7
358,114,718,242,7
670,249,718,259,7
664,186,719,265,7
475,207,720,259,7
199,196,720,320,7
199,197,720,320,7
199,195,720,320,7
203,200,720,320,7
203,195,720,320,7
203,197,720,320,7
203,196,720,320,7
267,207,720,320,7
267,197,720,320,7
267,196,720,320,7
267,195,720,320,7
267,200,720,320,7
47,43,723,241,7
609,254,724,262,7
54,43,727,245,7
576,206,728,249,8
576,470,728,249,8
195,192,728,276,8
196,192,728,276,8
197,192,728,276,8
200,192,728,276,8
207,192,728,276,8
473,192,728,276,8
516,447,731,159,8
651,511,733,263,8
426,46,736,293,8
481,452,737,278,8
470,207,738,223,8
526,525,739,249,8
511,510,739,261,8
649,394,739,271,8
475,197,742,270,8
321,221,745,334,8
321,222,745,334,8
450,241,748,261,8
515,168,748,266,8
472,470,752,272,8
472,206,752,272,8
475,196,752,275,8
525,404,755,287,8
47,46,756,252,8
204,193,756,283,8
476,193,756,283,8
525,165,758,288,8
555,249,758,329,8
370,369,759,261,8
206,197,760,234,8
470,197,760,234,8
497,111,761,279,8
576,472,764,261,8
516,515,764,264,8
343,260,766,266,8
649,521,768,263,8
321,18,768,298,8
206,196,770,239,8
470,196,770,239,8
333,5,770,364,8
487,275,772,196,8
358,146,772,260,8
475,473,772,285,8
576,191,777,313,8
534,300,778,268,8
350,349,778,272,8
321,316,778,345,8
207,204,779,293,8
473,204,779,293,8
547,278,781,209,8
