S1,S2,score
270,117,0.14872079
303,290,0.147647059
579,255,0.147647059
325,182,0.147347586
348,235,0.146666667
481,452,0.146529884
207,191,0.145151515
524,523,0.145026738
510,347,0.145026629
453,346,0.144224197
106,2,0.143768116
530,295,0.143469262
651,236,0.142144436
510,236,0.142144436
473,206,0.14097033
473,470,0.14097033
472,191,0.140037879
649,389,0.13844376
186,182,0.138289518
656,306,0.13752739
651,347,0.137450871
656,536,0.136015326
605,488,0.135384615
570,266,0.135
597,29,0.135
511,235,0.13460156
274,272,0.1342502
313,2,0.13370725
320,124,0.133390805
528,136,0.132739403
54,46,0.132697947
618,254,0.131575903
510,348,0.130909091
610,609,0.130413972
538,241,0.130384615
620,408,0.130114943
511,509,0.129216945
318,222,0.128961039
318,221,0.128961039
267,205,0.128637183
569,349,0.127631579
541,509,0.127553191
306,241,0.127142857
242,241,0.127142857
429,324,0.126666667
477,476,0.126312119
477,204,0.126312119
537,241,0.125384615
604,488,0.125384615
558,321,0.124233311
557,321,0.124233311
477,198,0.124054054
106,84,0.123571429
651,348,0.123333333
451,288,0.122261905
489,488,0.122051282
598,355,0.121911765
439,168,0.120869565
663,325,0.118947368
260,257,0.118823529
148,12,0.11825766
298,297,0.118181818
529,297,0.118181818
523,389,0.118077325
358,117,0.117145182
197,191,0.116946387
665,186,0.115144928
597,266,0.113947368
620,225,0.11372457
448,261,0.112664577
538,242,0.11232038
267,193,0.111123059
203,193,0.111123059
199,193,0.111123059
196,191,0.110742913
656,307,0.11045977
488,272,0.110178891
53,7,0.109011628
53,12,0.108983538
618,27,0.108974359
555,249,0.108965517
263,260,0.108823529
491,272,0.10822898
358,116,0.108184143
203,197,0.107789725
203,196,0.107789725
267,195,0.107789725
203,200,0.107789725
199,197,0.107789725
199,196,0.107789725
199,195,0.107789725
267,200,0.107789725
203,195,0.107789725
267,196,0.107789725
267,207,0.107789725
267,197,0.107789725
541,510,0.107553191
541,235,0.107553191
488,275,0.106923077
488,273,0.106923077
498,138,0.106320988
660,342,0.106192915
665,325,0.105381576
621,443,0.104074074
474,204,0.103105522
205,204,0.103105522
458,123,0.103030303
473,191,0.102875092
642,639,0.102430556
476,205,0.102352834
476,474,0.102352834
304,125,0.102142857
329,39,0.102020674
620,407,0.101666667
516,334,0.101428571
564,261,0.101025641
477,472,0.100929054
474,198,0.100847458
474,203,0.100847458
205,198,0.100847458
205,203,0.100847458
477,470,0.1
333,148,0.1
477,206,0.1
557,556,0.1
347,235,0.099906164
178,176,0.099593881
347,234,0.099206863
408,226,0.098965517
564,258,0.097631579
564,263,0.097631579
200,191,0.097003367
464,136,0.096923077
565,219,0.096923077
261,259,0.096093117
439,334,0.095869565
538,450,0.095714286
528,464,0.095361781
659,261,0.095208845
324,155,0.095
193,191,0.094109848
670,249,0.093898305
195,191,0.093636364
573,102,0.093333333
333,12,0.093178295
466,278,0.093039927
412,353,0.093023256
427,43,0.092857143
275,274,0.091724138
375,19,0.091666667
477,200,0.091091091
352,351,0.089935065
556,222,0.089180328
515,334,0.088522589
537,536,0.08781362
558,556,0.087777778
573,313,0.087619048
537,306,0.087543054
137,136,0.086923077
261,258,0.086428571
477,193,0.085304054
454,381,0.085217391
476,193,0.08483871
204,193,0.08483871
321,222,0.084048758
321,221,0.084048758
520,363,0.083829787
358,115,0.083478261
491,274,0.082493369
207,204,0.082258065
473,204,0.082258065
204,200,0.081505376
476,200,0.081505376
476,196,0.081505376
476,207,0.081505376
204,196,0.081505376
204,197,0.081505376
476,197,0.081505376
476,195,0.081505376
204,195,0.081505376
476,473,0.081505376
516,166,0.081428571
331,330,0.08045977
407,226,0.08
473,203,0.08
207,198,0.08
541,236,0.08
200,198,0.08
304,111,0.08
473,198,0.08
427,268,0.08
207,203,0.08
447,168,0.08
650,524,0.079691358
563,263,0.079390244
538,306,0.078561873
453,237,0.077692308
538,536,0.077049808
530,529,0.077027027
530,298,0.077027027
272,271,0.076511628
660,563,0.075606061
660,260,0.075606061
443,225,0.075555556
46,45,0.075454545
329,186,0.075374532
321,318,0.075087719
274,271,0.074482759
342,260,0.074482759
117,115,0.074468085
607,363,0.073829787
532,466,0.073823529
523,387,0.073106061
521,437,0.072857143
600,457,0.072553191
153,152,0.0725
116,115,0.07
447,334,0.07
663,186,0.07
656,539,0.07
474,193,0.068333333
194,193,0.068333333
205,193,0.068333333
663,39,0.068148148
564,260,0.067631579
577,298,0.067631579
577,529,0.067631579
282,116,0.0675
603,481,0.066363636
659,342,0.066153846
205,200,0.065
474,473,0.065
474,200,0.065
524,437,0.065
450,242,0.064625302
334,168,0.063478261
564,563,0.062631579
537,307,0.062258065
495,98,0.062253521
623,532,0.06
186,39,0.06
583,2,0.06
12,7,0.059844961
376,19,0.058780488
381,376,0.058478261
475,474,0.056666667
475,205,0.056666667
450,306,0.056496445
12,5,0.056338028
618,610,0.055641026
491,273,0.053461538
491,275,0.053461538
381,380,0.052988506
663,329,0.052258065
623,466,0.052241379
538,307,0.051494253
326,99,0.050714286
538,537,0.05
477,191,0.05
605,273,0.05
605,275,0.05
523,386,0.048478261
491,271,0.048461538
635,440,0.047974684
569,440,0.047974684
607,362,0.047762557
483,174,0.04530303
464,463,0.043333333
275,271,0.04
604,273,0.04
259,258,0.04
273,271,0.04
604,275,0.04
305,242,0.04
635,350,0.04
263,259,0.04
53,5,0.04
574,9,0.04
569,350,0.04
168,166,0.038985507
291,287,0.03739726
489,273,0.036666667
306,305,0.035
495,125,0.035
117,114,0.035
116,114,0.035
380,378,0.035
539,538,0.035
273,272,0.033255814
275,272,0.033255814
212,134,0.03
454,19,0.03
463,136,0.026666667
589,588,0.026666667
354,353,0.026666667
587,584,0.026666667
604,489,0.026666667
587,585,0.026666667
588,587,0.026666667
472,207,0.025316456
537,305,0.025
589,584,0.023333333
589,585,0.023333333
454,376,0.022727273
472,197,0.022222222
562,448,0.021978022
328,154,0.021505376
558,222,0.02
636,520,0.02
493,187,0.02
444,163,0.02
472,193,0.02
605,604,0.02
554,281,0.02
648,390,0.02
624,284,0.02
146,115,0.02
125,98,0.02
333,157,0.02
472,196,0.02
7,5,0.02
340,339,0.02
412,354,0.02
557,222,0.02
397,396,0.02
513,287,0.02
146,113,0.02
555,251,0.02
558,221,0.02
131,108,0.02
54,45,0.02
472,200,0.02
260,259,0.01
473,472,0.01
106,11,0.01
415,414,0.01
187,38,0.01
524,521,0.01
146,117,0.01
415,413,0.01
622,411,0.01
552,419,0.01
440,350,0.01
603,602,0.01
443,226,0.01
114,113,0.01
305,241,0.01
605,489,0.01
419,417,0.01
551,415,0.01
611,540,0.01
607,520,0.01
400,170,0.01
503,502,0.006666667
389,387,0.006666667
304,106,0.006666667
146,116,0.006666667
157,148,0.006666667
563,259,0.006666667
381,378,0.006666667
113,112,0.006666667
175,174,0.006666667
448,263,0.006666667
497,304,0.006666667
646,455,0.005
145,113,0.005
646,503,0.005
334,166,0.005
502,455,0.005
562,263,0.005
502,189,0.005
