fclass,name,id,address,city,region,postcode
steps,Anchor Close,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
steps,Anchor Close,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
footway,Anchor Close,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
footway,Stevenlaw's Close,844,"130 High Street, Edinburgh, EH1 1QS, Scotland",Edinburgh,Scotland,EH1 1QS
footway,Stevenlaw's Close,844,"130 High Street, Edinburgh, EH1 1QS, Scotland",Edinburgh,Scotland,EH1 1QS
secondary,Raeburn Place,339,"25 Raeburn Place, Edinburgh, EH4 1HU, Scotland",Edinburgh,Scotland,EH4 1HU
secondary,Raeburn Place,340,"64 Raeburn Place, Edinburgh, EH4 1HJ, Scotland",Edinburgh,Scotland,EH4 1HJ
service,Rose Street North Lane,903,"89 Rose Street, Edinburgh, EH2 3DT, Scotland",Edinburgh,Scotland,EH2 3DT
residential,Randolph Place,813,"1 Melville Place, Edinburgh, EH3 7PR, Scotland",Edinburgh,Scotland,EH3 7PR
unclassified,Melville Street,813,"1 Melville Place, Edinburgh, EH3 7PR, Scotland",Edinburgh,Scotland,EH3 7PR
pedestrian,High Street,844,"130 High Street, Edinburgh, EH1 1QS, Scotland",Edinburgh,Scotland,EH1 1QS
pedestrian,High Street,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
primary,,928,"45 St. Machar Drive, Aberdeen, AB24 3SE, Scotland",Aberdeen,Scotland,AB24 3SE
primary,,928,"45 St. Machar Drive, Aberdeen, AB24 3SE, Scotland",Aberdeen,Scotland,AB24 3SE
primary,,928,"45 St. Machar Drive, Aberdeen, AB24 3SE, Scotland",Aberdeen,Scotland,AB24 3SE
footway,,928,"45 St. Machar Drive, Aberdeen, AB24 3SE, Scotland",Aberdeen,Scotland,AB24 3SE
steps,,332,"13-14 Multrees Walk, Edinburgh, EH1 3DQ, Scotland",Edinburgh,Scotland,EH1 3DQ
footway,,332,"13-14 Multrees Walk, Edinburgh, EH1 3DQ, Scotland",Edinburgh,Scotland,EH1 3DQ
pedestrian,Buchanan Street,659,"137 Buchanan Street, Glasgow, G1 2JA, Scotland",Glasgow,Scotland,G1 2JA
pedestrian,Buchanan Street,980,"95 Buchanan Street, Glasgow, G1 3HF, Scotland",Glasgow,Scotland,G1 3HF
pedestrian,Buchanan Street,543,"113 Buchanan Street, Glasgow, G1 3HF, Scotland",Glasgow,Scotland,G1 3HF
pedestrian,Buchanan Street,344,"75 Buchanan Street, Glasgow, G1 3HL, Scotland",Glasgow,Scotland,G1 3HL
pedestrian,Buchanan Street,945,"166 Buchanan Street, Glasgow, G1 2LW, Scotland",Glasgow,Scotland,G1 2LW
pedestrian,Buchanan Street,562,"Unit b, 229-249 Buchanan Street, Glasgow, G1 2NG, Scotland",Glasgow,Scotland,G1 2NG
pedestrian,Royal Exchange Square,257,"20 Royal Exchange Square, Glasgow, G1 3AB, Scotland",Glasgow,Scotland,G1 3AB
pedestrian,Royal Exchange Square,343,"5 Royal Exchange Square, Glasgow, G1 3AH, Scotland",Glasgow,Scotland,G1 3AH
pedestrian,Sauchiehall Street,561,"Unit 1, Sauchiehall Centre, 179 Sauchiehall Street, Glasgow, G2 3ER, Scotland",Glasgow,Scotland,G2 3ER
pedestrian,Sauchiehall Street,482,"120 Sauchiehall Street, Glasgow, G2 3DH, Scotland",Glasgow,Scotland,G2 3DH
pedestrian,,258,"Unit 29, Glasgow Central Station, Gordon Street, Glasgow, G1 3SX, Scotland",Glasgow,Scotland,G1 3SX
pedestrian,,104,"Unit 13, Glasgow Central Station, Gordon Street, Glasgow, G1 3SX, Scotland",Glasgow,Scotland,G1 3SX
footway,,811,"7 Newhalls Road, South Queensferry, EH30 9TA, Scotland",South Queensferry,Scotland,EH30 9TA
footway,,813,"1 Melville Place, Edinburgh, EH3 7PR, Scotland",Edinburgh,Scotland,EH3 7PR
footway,,943,"80-81 Princes Street, Edinburgh, EH2 2ER, Scotland",Edinburgh,Scotland,EH2 2ER
footway,,943,"80-81 Princes Street, Edinburgh, EH2 2ER, Scotland",Edinburgh,Scotland,EH2 2ER
residential,Broad Street,819,"41 Broad Street, Peterhead, AB42 1JB, Scotland",Peterhead,Scotland,AB42 1JB
footway,,332,"13-14 Multrees Walk, Edinburgh, EH1 3DQ, Scotland",Edinburgh,Scotland,EH1 3DQ
footway,,895,"54-60 Princes Street, Edinburgh, EH2 2DQ, Scotland",Edinburgh,Scotland,EH2 2DQ
footway,,900,"30-31 Princes Street, Edinburgh, EH2 2BY, Scotland",Edinburgh,Scotland,EH2 2BY
footway,,895,"54-60 Princes Street, Edinburgh, EH2 2DQ, Scotland",Edinburgh,Scotland,EH2 2DQ
footway,,334,"87 Princes Street, Edinburgh, EH2 2ER, Scotland",Edinburgh,Scotland,EH2 2ER
footway,,943,"80-81 Princes Street, Edinburgh, EH2 2ER, Scotland",Edinburgh,Scotland,EH2 2ER
footway,,166,"120 Princes Street, Edinburgh, EH2 4AD, Scotland",Edinburgh,Scotland,EH2 4AD
unclassified,Station Road,828,"Unit a, Station Road, South Queensferry, EH30 9JU, Scotland",South Queensferry,Scotland,EH30 9JU
