1.0,6.0,5.0,3, 3, 3, 3, 3, 3, 1, 1, 1, 3, 2, 2, 2, 2, 2, 3, 1, 3, 1, 1, 1, 1, 1, 3
2.0,6.0,5.0,3, 3, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 1, 1, 1, 1, 3
3.0,6.0,5.0,3, 3, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 1, 1, 1, 1
4.0,6.0,5.0,3, 3, 3, 3, 3, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 1, 1, 2, 2
5.0,6.0,5.0,3, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 1, 1, 1, 3, 2
6.0,6.0,5.0,3, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 2
7.0,6.0,5.0,3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
8.0,6.0,5.0,3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
9.0,6.0,5.0,3, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 1, 1, 1, 1, 3, 2
10.0,6.0,5.0,3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3
11.0,6.0,5.0,3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
12.0,6.0,5.0,3, 1, 1, 3, 3, 3, 1, 1, 1, 1, 2, 3, 2, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1
1.0,7.0,5.0,3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
2.0,7.0,5.0,3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
