s1,s2
6,5
7,5
7,6
12,5
12,6
12,7
45,43
46,43
46,45
47,43
47,45
47,46
53,5
53,6
53,7
53,12
54,43
54,45
54,46
54,47
62,5
62,7
62,12
62,53
78,5
78,7
78,12
78,53
84,2
84,11
102,57
106,2
106,11
106,84
113,112
114,113
115,113
115,114
116,114
116,115
117,114
117,115
117,116
118,115
118,116
118,117
125,98
125,109
130,123
131,108
137,136
144,112
145,113
145,144
146,113
146,115
146,116
146,117
148,5
148,6
148,7
148,12
148,53
148,78
153,152
157,148
165,164
168,166
175,174
178,176
186,39
186,182
187,38
192,191
193,191
193,192
194,193
195,191
195,192
196,191
196,192
197,191
197,192
198,192
198,193
198,195
198,196
198,197
199,192
199,193
199,195
199,196
199,197
200,191
200,192
200,198
203,192
203,193
203,195
203,196
203,197
203,200
204,192
204,193
204,195
204,196
204,197
204,200
205,193
205,198
205,200
205,203
205,204
206,191
206,193
206,195
206,196
206,197
206,200
206,205
207,191
207,192
207,198
207,203
207,204
207,206
212,103
212,109
212,134
219,218
225,223
226,225
235,234
236,234
236,235
237,234
237,235
241,240
242,241
243,218
243,219
249,247
249,248
251,248
251,250
254,27
259,258
260,257
260,259
261,257
261,258
261,259
263,257
263,259
263,260
263,261
267,192
267,193
267,195
267,196
267,197
267,200
267,205
267,207
268,45
268,46
268,47
268,54
270,114
270,115
270,116
270,117
270,118
270,146
272,271
273,271
273,272
274,271
274,272
275,271
275,272
275,274
278,276
281,279
282,116
282,118
282,119
286,76
288,287
291,287
295,290
298,297
299,290
299,295
300,125
300,212
303,290
303,295
304,106
304,111
304,125
305,241
305,242
306,241
306,305
307,241
307,242
307,305
307,306
313,2
314,140
314,141
318,18
318,221
318,222
318,316
320,124
321,18
321,221
321,222
321,316
321,318
324,155
325,182
326,99
328,154
329,39
329,186
331,330
333,5
333,12
333,148
333,157
334,166
334,168
337,330
340,339
342,257
342,260
342,263
343,257
343,260
343,261
343,263
343,342
346,234
346,235
346,237
347,234
347,235
348,234
348,235
348,236
348,237
350,349
352,351
354,353
357,115
357,116
357,118
357,126
357,270
357,282
358,114
358,115
358,116
358,117
358,146
366,365
370,369
375,19
376,19
380,376
380,378
381,376
381,378
381,380
386,385
388,386
388,387
389,386
389,387
397,396
400,170
400,171
403,163
404,164
406,227
407,223
407,225
407,226
408,223
408,225
408,226
409,387
409,388
409,389
409,394
410,281
411,353
411,354
412,353
412,354
412,411
415,413
415,414
419,417
426,43
426,46
426,47
426,54
426,268
427,43
427,46
427,47
427,54
427,268
428,43
428,45
428,46
428,54
428,268
428,426
428,427
429,155
429,324
436,435
437,394
437,409
439,168
439,334
440,349
440,350
441,288
442,376
442,378
442,380
442,381
443,223
443,225
443,226
444,163
