s1,s2,vals,quad,countq
205,193,0,2,2
205,193,1,2,20
205,193,2,2,42
205,193,2,3,3
205,193,3,1,1
205,193,3,2,134
205,193,3,3,2
205,198,0,2,3
205,198,1,2,16
205,198,2,2,89
205,198,2,3,1
205,198,3,1,1
205,198,3,2,90
205,198,3,3,4
205,200,0,2,10
205,200,1,2,103
205,200,2,2,25
205,200,3,1,1
205,200,3,2,64
205,200,3,3,4
205,203,0,2,1
205,203,1,2,11
205,203,1,3,1
205,203,2,2,104
205,203,2,3,3
205,203,3,2,68
205,203,3,3,1
205,204,0,2,2
205,204,1,2,14
205,204,2,1,1
205,204,2,2,126
205,204,2,3,4
205,204,3,2,60
205,204,3,3,1
206,191,1,2,56
206,191,2,2,8
206,191,3,2,77
206,193,0,2,1
206,193,1,2,27
206,193,1,3,1
206,193,2,2,22
206,193,2,3,2
206,193,3,2,169
206,193,3,3,2
206,195,0,2,1
206,195,0,3,1
206,195,1,2,30
206,195,2,2,14
206,195,2,3,1
206,195,3,2,129
206,195,3,3,3
206,196,0,2,2
206,196,1,2,26
206,196,1,3,1
206,196,2,2,38
206,196,2,3,1
206,196,3,2,148
206,196,3,3,3
206,197,0,2,3
206,197,1,2,100
206,197,1,3,3
206,197,2,2,3
206,197,3,2,115
206,197,3,3,2
206,200,0,2,10
206,200,1,2,138
206,200,1,3,3
206,200,2,2,11
206,200,3,2,62
206,200,3,3,1
206,205,0,2,7
206,205,0,3,1
206,205,1,2,52
206,205,1,3,3
206,205,2,2,21
206,205,3,2,101
206,205,3,3,1
207,191,0,2,1
207,191,1,2,25
207,191,2,2,50
207,191,3,2,64
207,192,0,2,3
207,192,1,2,26
207,192,2,2,33
207,192,3,2,78
207,198,0,2,3
207,198,2,2,105
207,198,3,2,32
207,203,0,2,2
207,203,2,2,107
207,203,3,2,32
207,204,0,2,2
207,204,2,2,109
207,204,3,2,30
207,206,0,2,1
207,206,1,2,1
207,206,2,2,87
207,206,3,2,52
212,103,1,2,9
212,103,2,2,34
212,109,0,2,2
212,109,1,2,18
212,109,2,2,21
212,134,0,2,1
212,134,1,2,6
212,134,2,2,34
219,218,0,2,23
219,218,1,2,70
219,218,2,2,61
219,218,2,3,2
219,218,3,1,1
219,218,3,2,85
219,218,3,3,3
225,223,0,2,9
225,223,1,2,125
225,223,2,2,21
225,223,3,2,7
226,225,0,2,19
226,225,1,2,108
226,225,1,3,2
226,225,2,2,82
226,225,2,3,1
226,225,3,2,11
226,225,3,3,1
235,234,0,2,18
235,234,1,2,97
235,234,1,3,2
235,234,2,2,35
235,234,2,3,1
235,234,3,2,74
235,234,3,3,2
236,234,0,2,17
236,234,1,2,52
236,234,1,3,2
236,234,2,2,131
236,234,2,3,1
236,234,3,2,24
236,234,3,3,2
236,235,0,2,7
236,235,1,2,14
236,235,2,2,184
236,235,2,3,3
236,235,3,2,18
236,235,3,3,2
237,234,0,2,13
237,234,1,2,114
237,234,1,3,2
237,234,2,2,43
237,234,2,3,1
237,234,3,2,25
237,234,3,3,2
237,235,0,2,25
237,235,1,1,1
237,235,1,2,95
237,235,1,3,2
237,235,2,2,63
237,235,2,3,1
237,235,3,2,33
237,235,3,3,2
241,240,0,2,27
241,240,1,2,81
241,240,1,3,3
241,240,2,2,72
241,240,2,3,1
241,240,3,2,17
241,240,3,3,1
242,241,0,2,9
242,241,1,2,52
242,241,2,1,1
242,241,2,2,97
242,241,2,3,1
242,241,3,2,10
243,218,0,2,7
243,218,0,3,1
243,218,1,2,17
243,218,2,2,173
243,218,2,3,4
243,218,3,2,22
243,219,0,2,6
243,219,1,2,7
243,219,1,3,1
243,219,2,2,195
243,219,2,3,4
243,219,3,2,3
249,247,0,2,24
249,247,1,2,86
249,247,1,3,1
249,247,2,2,79
249,247,3,1,1
249,247,3,2,17
249,248,0,2,17
249,248,0,3,1
249,248,1,2,133
249,248,2,2,58
249,248,2,3,4
249,248,3,2,17
251,248,0,2,23
251,248,1,2,120
251,248,1,3,1
251,248,2,2,57
251,248,2,3,1
251,248,3,2,16
251,248,3,3,1
251,250,0,2,20
251,250,1,1,1
251,250,1,2,109
251,250,1,3,2
251,250,2,2,33
251,250,2,3,1
251,250,3,2,67
254,27,0,2,8
254,27,1,2,49
254,27,2,2,158
254,27,2,3,4
254,27,3,2,6
254,27,3,3,1
259,258,0,2,15
259,258,0,3,1
259,258,1,2,155
259,258,1,3,1
259,258,2,2,51
259,258,2,3,3
260,257,0,2,9
260,257,1,2,134
260,257,1,3,1
260,257,2,2,22
260,257,2,3,1
260,257,3,2,7
260,259,0,2,17
260,259,1,2,115
260,259,1,3,1
260,259,2,2,67
260,259,2,3,2
261,257,0,2,7
261,257,0,3,2
261,257,1,2,109
261,257,2,2,30
261,257,3,2,11
261,257,3,3,1
261,258,0,2,9
261,258,0,3,1
261,258,1,2,57
261,258,2,2,132
261,258,2,3,3
261,258,3,2,2
261,258,3,3,1
261,259,0,2,4
261,259,1,2,18
261,259,2,2,169
261,259,2,3,5
263,257,0,2,11
263,257,0,3,1
263,257,1,2,93
263,257,1,3,2
263,257,2,2,15
263,257,3,2,26
263,259,0,2,9
263,259,0,3,1
263,259,1,2,131
263,259,1,3,3
263,259,2,2,39
263,259,2,3,1
263,260,0,2,23
263,260,0,3,1
263,260,1,2,56
263,260,1,3,1
263,260,2,1,1
263,260,2,2,75
263,260,2,3,1
263,260,3,2,29
263,261,0,2,20
263,261,1,1,1
263,261,1,2,106
263,261,1,3,5
263,261,2,2,26
263,261,3,2,23
267,192,1,2,32
267,192,2,2,1
267,192,3,2,7
267,193,0,2,1
267,193,1,2,9
267,193,2,2,5
267,193,3,2,25
267,195,1,2,16
267,195,2,2,3
267,195,3,2,21
267,196,0,2,1
267,196,1,2,12
267,196,2,2,5
267,196,3,2,22
267,197,0,2,1
267,197,1,2,29
267,197,2,2,1
267,197,3,2,9
267,200,0,2,1
267,200,1,2,34
267,200,3,2,5
267,205,1,2,18
267,205,2,2,3
267,205,3,2,19
267,207,1,2,29
267,207,2,2,1
267,207,3,2,10
268,45,0,2,6
268,45,1,2,149
268,45,1,3,1
268,45,2,2,4
268,45,2,3,1
268,45,3,2,27
268,45,3,3,1
268,46,0,2,11
268,46,0,3,1
268,46,1,2,96
268,46,1,3,2
268,46,2,2,30
268,46,3,2,63
268,46,3,3,2
268,47,0,2,11
268,47,1,2,73
268,47,1,3,2
268,47,2,2,34
268,47,3,2,78
268,47,3,3,3
268,54,0,2,10
268,54,1,1,1
268,54,1,2,49
268,54,1,3,2
268,54,2,2,152
268,54,2,3,1
268,54,3,2,13
268,54,3,3,2
270,114,0,2,5
270,114,1,2,9
270,114,2,2,146
270,115,0,2,1
270,115,1,2,10
270,115,2,2,144
270,116,0,2,1
270,116,1,2,11
270,116,2,2,151
270,117,0,2,5
270,117,1,2,116
270,117,2,2,29
270,118,0,2,5
270,118,1,2,6
270,118,2,2,138
270,146,0,2,5
270,146,1,2,23
270,146,2,2,135
272,271,0,2,13
272,271,1,2,40
272,271,1,3,1
272,271,2,1,1
272,271,2,2,113
272,271,2,3,3
272,271,3,2,28
272,271,3,3,1
273,271,0,2,19
273,271,1,2,52
273,271,1,3,1
273,271,2,1,1
273,271,2,2,74
273,271,3,2,24
273,271,3,3,1
273,272,0,2,17
273,272,1,1,1
273,272,1,2,142
273,272,1,3,1
273,272,2,2,47
273,272,2,3,1
273,272,3,2,10
274,271,0,2,6
274,271,1,2,15
274,271,2,2,90
274,271,2,3,3
274,271,3,2,68
274,271,3,3,2
274,272,0,2,21
274,272,1,2,95
274,272,1,3,4
274,272,2,2,64
274,272,3,2,45
274,272,3,3,1
275,271,0,2,4
275,271,1,2,32
275,271,2,1,1
275,271,2,2,65
275,271,2,3,3
275,271,3,2,94
275,271,3,3,1
275,272,0,2,27
275,272,0,3,1
275,272,1,2,120
275,272,1,3,3
275,272,2,1,1
275,272,2,2,47
275,272,3,2,48
275,274,0,2,10
275,274,1,2,110
275,274,1,3,1
275,274,2,2,22
275,274,2,3,1
275,274,3,2,87
275,274,3,3,2
278,276,0,2,21
278,276,1,2,132
278,276,1,3,5
278,276,2,2,34
278,276,3,2,33
281,279,0,2,2
281,279,1,2,176
281,279,1,3,4
281,279,2,2,2
282,116,0,2,4
282,116,1,1,1
282,116,1,2,163
282,116,1,3,1
282,116,2,2,7
282,116,3,2,3
282,118,0,2,5
282,118,1,2,132
282,118,1,3,4
282,118,2,2,20
282,118,2,3,1
282,119,0,2,9
282,119,1,2,94
282,119,1,3,1
282,119,2,2,60
282,119,2,3,1
282,119,3,2,1
286,76,1,2,1
286,76,2,2,93
286,76,3,2,8
288,287,0,2,3
288,287,1,2,2
288,287,2,1,1
288,287,2,2,169
288,287,2,3,1
288,287,3,2,2
291,287,0,2,4
291,287,1,2,14
291,287,1,3,1
291,287,2,1,1
291,287,2,2,203
291,287,2,3,3
295,290,0,2,15
295,290,0,3,2
295,290,1,2,43
295,290,1,3,1
295,290,2,2,148
295,290,2,3,2
295,290,3,2,10
298,297,0,2,16
298,297,0,3,2
298,297,1,2,186
298,297,1,3,2
298,297,2,2,10
298,297,2,3,1
299,290,0,2,18
299,290,1,2,39
299,290,2,2,154
299,290,2,3,5
299,290,3,2,2
299,295,0,2,11
299,295,0,3,1
299,295,1,2,153
299,295,1,3,2
299,295,2,2,47
299,295,2,3,2
299,295,3,2,2
300,125,0,2,21
300,125,1,2,82
300,125,2,1,1
300,125,2,2,105
300,125,2,3,2
300,125,3,2,3
300,212,0,2,2
300,212,1,2,13
300,212,2,2,29
300,212,3,2,1
303,290,0,2,4
303,290,1,2,12
303,290,2,2,200
303,290,2,3,5
303,295,0,2,12
303,295,0,3,1
303,295,1,2,54
303,295,2,2,143
303,295,2,3,4
303,295,3,2,2
304,106,0,2,8
304,106,1,2,17
304,106,2,2,56
304,111,0,2,6
304,111,1,2,60
304,111,2,2,31
304,111,3,2,31
304,125,0,2,14
304,125,1,2,87
304,125,2,2,13
304,125,3,2,6
305,241,0,2,10
305,241,1,2,148
305,241,1,3,1
305,241,2,2,37
305,241,2,3,3
305,241,3,2,2
305,241,3,3,1
305,242,0,2,4
305,242,1,2,110
305,242,1,3,1
305,242,2,2,33
306,241,0,2,10
306,241,1,2,64
306,241,1,3,3
306,241,2,1,1
306,241,2,2,131
306,241,2,3,1
306,241,3,2,2
306,241,3,3,1
306,305,0,2,16
306,305,0,3,1
306,305,1,2,71
306,305,1,3,3
306,305,2,2,115
306,305,2,3,1
307,241,0,2,19
307,241,0,3,1
307,241,1,2,53
307,241,1,3,1
307,241,2,1,1
307,241,2,2,107
307,241,2,3,2
307,241,3,2,14
307,241,3,3,1
307,242,0,2,12
307,242,1,2,69
307,242,1,3,1
307,242,2,2,61
307,242,3,1,1
307,242,3,2,22
307,305,0,2,12
307,305,1,2,62
307,305,1,3,3
307,305,2,2,98
307,305,2,3,2
307,306,0,2,12
307,306,0,3,1
307,306,1,2,83
307,306,1,3,3
307,306,2,2,59
307,306,3,1,1
307,306,3,2,28
307,306,3,3,1
313,2,0,2,6
313,2,1,2,10
313,2,2,2,117
314,140,0,2,7
314,140,1,2,7
314,140,1,3,2
314,140,2,1,1
314,140,2,2,166
314,140,2,3,2
314,140,3,3,1
314,141,0,1,1
314,141,0,2,3
314,141,1,2,37
314,141,1,3,3
314,141,2,2,192
314,141,2,3,2
314,141,3,2,1
318,18,0,2,13
318,18,1,2,25
318,18,2,2,182
318,18,2,3,2
318,18,3,2,3
318,221,0,2,14
318,221,1,2,21
318,221,2,2,146
318,221,2,3,2
318,221,3,2,15
318,222,0,2,10
318,222,1,2,13
318,222,2,2,177
318,222,2,3,1
318,222,3,2,17
318,316,0,2,9
318,316,1,2,20
318,316,2,2,174
318,316,2,3,2
318,316,3,2,6
320,124,0,2,16
320,124,1,2,85
320,124,1,3,1
320,124,2,2,108
320,124,2,3,3
321,18,0,2,20
321,18,0,3,1
321,18,1,2,72
321,18,1,3,1
321,18,2,2,111
321,18,2,3,3
321,18,3,1,1
321,18,3,2,16
321,221,0,2,9
321,221,1,2,19
321,221,1,3,1
321,221,2,1,1
321,221,2,2,161
321,221,2,3,3
321,221,3,2,25
321,221,3,3,1
321,222,0,2,11
321,222,1,2,9
321,222,1,3,1
321,222,2,1,1
321,222,2,2,160
321,222,2,3,1
321,222,3,2,29
321,316,0,2,6
321,316,1,2,4
321,316,1,3,1
321,316,2,1,1
321,316,2,2,177
321,316,2,3,4
321,316,3,2,15
321,318,0,2,13
321,318,1,2,68
321,318,2,2,116
321,318,2,3,2
321,318,3,2,4
324,155,1,1,1
324,155,1,2,7
324,155,1,3,1
324,155,2,2,196
324,155,2,3,3
325,182,0,2,8
325,182,1,2,17
325,182,1,3,1
325,182,2,1,1
325,182,2,2,178
325,182,2,3,2
325,182,3,2,19
325,182,3,3,1
326,99,0,2,7
326,99,1,1,1
326,99,1,2,201
326,99,1,3,5
326,99,2,2,22
328,154,1,2,11
328,154,2,2,117
329,39,0,2,19
329,39,1,2,166
329,39,1,3,2
329,39,2,2,27
329,39,2,3,2
329,186,0,2,20
329,186,0,3,1
329,186,1,2,64
329,186,2,2,103
329,186,2,3,2
329,186,3,2,25
329,186,3,3,1
331,330,0,2,11
331,330,0,3,1
331,330,1,2,105
331,330,1,3,2
331,330,2,1,1
331,330,2,2,110
331,330,2,3,2
333,5,0,2,6
333,5,1,2,12
333,5,2,2,218
333,5,2,3,5
333,12,0,2,15
333,12,1,2,47
333,12,1,3,1
333,12,2,1,1
333,12,2,2,151
333,12,2,3,3
333,148,0,2,14
333,148,0,3,1
333,148,1,2,59
333,148,1,3,1
333,148,2,1,1
333,148,2,2,156
333,148,2,3,2
333,148,3,2,5
333,148,3,3,1
333,157,0,2,18
333,157,1,2,64
333,157,1,3,2
333,157,2,1,1
333,157,2,2,140
333,157,2,3,2
333,157,3,2,12
333,157,3,3,1
334,166,0,2,12
334,166,1,1,1
334,166,1,2,28
334,166,2,2,142
334,166,2,3,3
334,166,3,2,24
334,166,3,3,1
334,168,0,2,11
334,168,0,3,1
334,168,1,2,172
334,168,1,3,2
334,168,2,2,23
334,168,2,3,1
334,168,3,2,7
337,330,0,2,1
337,330,1,1,1
337,330,1,2,225
337,330,1,3,4
337,330,2,2,10
337,330,2,3,1
340,339,0,2,17
340,339,1,2,77
340,339,1,3,1
340,339,2,2,85
340,339,2,3,3
340,339,3,2,30
342,257,0,2,9
342,257,1,2,35
342,257,2,2,114
342,257,2,3,2
342,260,0,2,6
342,260,1,2,6
342,260,2,1,1
342,260,2,2,190
342,260,2,3,3
342,263,0,2,1
342,263,1,2,2
342,263,2,1,1
342,263,2,2,188
342,263,2,3,4
342,263,3,2,2
343,257,0,2,11
343,257,1,2,46
343,257,1,3,1
343,257,2,2,122
343,257,2,3,2
343,257,3,2,8
343,260,0,2,4
343,260,1,2,13
343,260,1,3,1
343,260,2,2,174
343,260,2,3,2
343,260,3,2,2
343,261,0,2,5
343,261,0,3,1
343,261,1,2,18
343,261,1,3,2
343,261,2,2,159
343,261,2,3,1
343,261,3,2,3
343,261,3,3,1
343,263,0,2,7
343,263,1,2,9
343,263,2,2,147
343,263,2,3,5
343,263,3,2,10
343,342,0,2,11
343,342,0,3,1
343,342,1,2,100
343,342,1,3,1
343,342,2,2,74
343,342,2,3,2
346,234,0,2,7
346,234,1,2,42
346,234,2,2,131
346,234,3,2,13
346,234,3,3,1
346,235,0,2,9
346,235,1,2,19
346,235,2,2,147
346,235,2,3,1
346,235,3,2,17
346,237,0,2,16
346,237,1,2,26
346,237,1,3,1
346,237,2,2,114
346,237,3,2,7
347,234,0,2,6
347,234,1,2,11
